測定局コード,測定局名称,住所,SO2,NO,NO2,NOX,CO,OX,NMHC,CH4,THC,SPM,PM2.5,SP,WD,WS,TEMP,HUM,問い合わせ先,局種別
1101010,センター,札幌市中央区北１西２,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,×,札幌市,一般局
1101020,山鼻,札幌市中央区南２３西１３,◯,×,×,×,×,◯,×,×,×,×,×,×,×,×,×,×,札幌市,一般局
1101520,北１条,札幌市中央区北１西２,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,札幌市,自排局
1101540,南１４条,札幌市中央区南１４条西１０丁目,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,札幌市,自排局
1102010,篠路,札幌市北区篠路４－９,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,札幌市,一般局
1102020,国設札幌大気環境測定所,札幌市北区北19条西12丁目,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,環境省,一般局
1102510,北１９条,札幌市北区北１９西２,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,札幌市,自排局
1103010,東,札幌市東区北１８東５,×,×,×,×,×,◯,×,×,×,×,×,×,×,×,×,×,札幌市,一般局
1103520,東１８丁目,札幌市東区北３３東１８,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,札幌市,自排局
1104030,北白石,札幌市白石区菊水元町８－３,×,×,×,×,×,◯,×,×,×,×,◯,×,×,×,×,×,札幌市,一般局
1105010,東月寒,札幌市豊平区月寒東４－１８,◯,×,×,×,×,◯,×,×,×,×,×,×,×,×,×,×,札幌市,一般局
1105520,月寒中央,札幌市豊平区月寒中央通７丁目,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,札幌市,自排局
1106050,駒岡,札幌市南区真駒内602,×,×,×,×,×,◯,×,×,×,×,◯,×,×,×,×,×,札幌市,一般局
1107020,発寒,札幌市西区発寒５－７,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,札幌市,一般局
1107030,手稲,札幌市手稲区前田２－１２,×,×,×,×,×,◯,×,×,×,×,◯,×,×,×,×,×,札幌市,一般局
1108010,厚別,札幌市厚別区厚別中央４－３,×,◯,◯,◯,×,◯,◯,◯,◯,×,◯,×,×,×,×,×,札幌市,一般局
1110010,清田,札幌市清田区平岡1条1丁目2,×,×,×,×,×,◯,×,×,×,×,◯,×,×,×,×,×,札幌市,一般局
1202080,北美原小学校,函館市北美原１－９－１６,×,×,×,×,×,◯,×,×,×,×,◯,×,◯,◯,×,×,函館市,一般局
1202100,中部小学校,函館市新川町30-26,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,函館市,一般局
1202120,深堀中学校,函館市深堀町２８－１,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,×,×,函館市,一般局
1202560,美原,函館市美原３－３０－３,×,◯,◯,◯,×,×,×,×,×,×,×,×,×,×,×,×,函館市,自排局
1203090,銭函,小樽市見晴町3-26,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,小樽市,一般局
1203100,勝納,小樽市勝納町10-1,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,小樽市,一般局
1203110,塩谷,小樽市塩谷2-10-5,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,小樽市,一般局
1203520,駅前交差点,小樽市稲穂2-22-8,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,×,×,×,×,小樽市,自排局
1204010,中央,旭川市６条通９丁目,◯,×,×,×,×,◯,×,×,×,×,◯,×,×,×,×,×,旭川市,一般局
1204011,中央,旭川市６条通９丁目,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,×,×,×,×,旭川市,自排局
1204050,北門,旭川市錦町２１丁目,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,×,×,旭川市,一般局
1204150,東光,旭川市東光１６条７丁目,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,旭川市,一般局
1204160,永山,旭川市永山３条１９丁目,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,旭川市,一般局
1205020,御前水,室蘭市御前水町2－2,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,室蘭市,一般局
1205060,白鳥台,室蘭市白鳥台5－35,◯,×,×,×,×,×,×,×,×,◯,×,×,×,×,×,×,室蘭市,一般局
1205310,輪西,室蘭市輪西町3－2－33,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,室蘭市,一般局
1205320,東,室蘭市寿町1－9,◯,×,×,×,×,◯,×,×,×,◯,×,×,×,×,×,×,室蘭市,一般局
1205540,汐見,室蘭市東町4－29,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,×,×,×,×,室蘭市,自排局
1206280,釧路高専,釧路市大楽毛西2-32,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,北海道,一般局
1206290,昭和小学校,釧路市昭和中央3丁目12番2号,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,北海道,一般局
1207090,帯広市役所,帯広市西５条南７丁目１番地,×,×,×,×,×,×,×,×,×,×,◯,×,×,×,×,×,北海道,一般局
1208510,北見市常磐町大気測定局舎,北見市常磐町2-1-8,×,×,×,×,×,×,×,×,×,◯,◯,×,×,×,×,×,北海道,自排局
1213020,双葉,苫小牧市双葉町３－２３,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,苫小牧市,一般局
1213050,明野公園,苫小牧市明野新町３－２,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,苫小牧市,一般局
1213070,勇払,苫小牧市字勇払２７－２３,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,苫小牧市,一般局
1213220,沼ノ端公園,苫小牧市沼ノ端中央５－４,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,×,×,×,×,苫小牧市,一般局
1213510,糸井,苫小牧市しらかば町5丁目21番地,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,苫小牧市,自排局
1213610,市役所,苫小牧市旭町4-5-6,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道,自排局
1224010,日の出,千歳市日の出２－２０５５－１,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,北海道,一般局
1224020,富丘,千歳市富丘４－１３,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,千歳市,一般局
1224050,駒里,千歳市駒里２２３１－２,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道,一般局
1224060,若草,千歳市若草４－１３,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,千歳市,一般局
1226010,職業訓練校,砂川市焼山60-2,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道,一般局
1302010,樽川,石狩市樽川500-33,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,北海道,一般局
1424010,奈井江,空知郡奈井江町字奈井江147,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道,一般局
1518950,国設利尻酸性雨,利尻郡利尻町仙法志神磯193,◯,◯,◯,◯,×,◯,×,×,×,×,◯,×,◯,◯,〇,◯,環境省,一般局
1578010,白老,白老郡白老町大町１－６,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道,一般局
1578030,北吉原,白老郡白老町字北吉原８６,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道,一般局
1579020,遠浅,勇払郡安平町遠浅７５１－１,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,×,北海道,一般局
1579030,早来,勇払郡安平町早来北町１２－２,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道,一般局
1581010,厚真,勇払郡厚真町新町１２７－１０,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道,一般局
1581020,上厚真,勇払郡厚真町字上厚真１８－１,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,×,北海道,一般局
1582020,田浦,勇払郡むかわ町田浦２０９－１,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,北海道,一般局
1582030,鵡川,勇払郡むかわ町福住２丁目１８０番地,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道,一般局
